"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,15,"AUS","Australia",1,"Ashmore and Cartier Islands",1,"n.a.1","",NA,"","Unknown","Unknown","",""
2,15,"AUS","Australia",2,"Australian Capital Territory",2,"Acton","",NA,"","Unknown","Unknown","",""
3,15,"AUS","Australia",2,"Australian Capital Territory",3,"Ainslie","",NA,"","Unknown","Unknown","",""
4,15,"AUS","Australia",2,"Australian Capital Territory",4,"Amaroo","",NA,"","Unknown","Unknown","",""
5,15,"AUS","Australia",2,"Australian Capital Territory",5,"Aranda","",NA,"","Unknown","Unknown","",""
6,15,"AUS","Australia",2,"Australian Capital Territory",6,"Banks","",NA,"","Unknown","Unknown","",""
7,15,"AUS","Australia",2,"Australian Capital Territory",7,"Barton","",NA,"","Unknown","Unknown","",""
8,15,"AUS","Australia",2,"Australian Capital Territory",8,"Belconnen - SSD Bal","",NA,"","Unknown","Unknown","",""
9,15,"AUS","Australia",2,"Australian Capital Territory",9,"Belconnen Town Centre","",NA,"","Unknown","Unknown","",""
10,15,"AUS","Australia",2,"Australian Capital Territory",10,"Bonython","",NA,"","Unknown","Unknown","",""
11,15,"AUS","Australia",2,"Australian Capital Territory",11,"Braddon","",NA,"","Unknown","Unknown","",""
12,15,"AUS","Australia",2,"Australian Capital Territory",12,"Bruce","",NA,"","Unknown","Unknown","",""
13,15,"AUS","Australia",2,"Australian Capital Territory",13,"Calwell","",NA,"","Unknown","Unknown","",""
14,15,"AUS","Australia",2,"Australian Capital Territory",14,"Campbell","",NA,"","Unknown","Unknown","",""
15,15,"AUS","Australia",2,"Australian Capital Territory",15,"Chapman","",NA,"","Unknown","Unknown","",""
16,15,"AUS","Australia",2,"Australian Capital Territory",16,"Charnwood","",NA,"","Unknown","Unknown","",""
17,15,"AUS","Australia",2,"Australian Capital Territory",17,"Chifley","",NA,"","Unknown","Unknown","",""
18,15,"AUS","Australia",2,"Australian Capital Territory",18,"Chisholm","",NA,"","Unknown","Unknown","",""
