# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-01-11 14:14:53 EST       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07344400 Red River near Hosston, LA.
# -----------------------------------------------------------------------------------
#
# Data provided for site 07344400
#    DD parameter statistic   Description
#    02   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
# 
agency_cd	site_no	datetime	02_00060_00003	02_00060_00003_cd
5s	15s	20d	14n	10s
USGS	07344400	1957-10-01	35000	A
USGS	07344400	1957-10-02	35000	A
USGS	07344400	1957-10-03	35000	A
USGS	07344400	1957-10-04	35000	A
USGS	07344400	1957-10-05	35000	A
USGS	07344400	1957-10-06	15000	A
USGS	07344400	1957-10-07	15000	A
USGS	07344400	1957-10-08	15000	A
USGS	07344400	1957-10-09	15000	A
USGS	07344400	1957-10-10	15000	A
USGS	07344400	1957-10-11	11000	A
USGS	07344400	1957-10-12	11000	A
USGS	07344400	1957-10-13	11000	A
USGS	07344400	1957-10-14	11000	A
USGS	07344400	1957-10-15	11000	A
USGS	07344400	1957-10-16	13000	A
USGS	07344400	1957-10-17	13000	A
USGS	07344400	1957-10-18	13000	A
USGS	07344400	1957-10-19	13000	A
USGS	07344400	1957-10-20	13000	A
USGS	07344400	1957-10-21	18000	A
USGS	07344400	1957-10-22	18000	A
USGS	07344400	1957-10-23	18000	A
USGS	07344400	1957-10-24	18000	A
USGS	07344400	1957-10-25	18000	A
USGS	07344400	1957-10-26	16000	A
USGS	07344400	1957-10-27	16000	A
USGS	07344400	1957-10-28	16000	A
USGS	07344400	1957-10-29	16000	A
USGS	07344400	1957-10-30	16000	A
USGS	07344400	1957-10-31	16000	A
USGS	07344400	1957-11-01	14000	A
USGS	07344400	1957-11-02	14000	A
USGS	07344400	1957-11-03	14000	A
USGS	07344400	1957-11-04	14000	A
USGS	07344400	1957-11-05	14000	A
USGS	07344400	1957-11-06	30000	A
USGS	07344400	1957-11-07	30000	A
USGS	07344400	1957-11-08	30000	A
USGS	07344400	1957-11-09	75000	A
USGS	07344400	1957-11-10	75000	A
USGS	07344400	1957-11-11	75000	A
USGS	07344400	1957-11-12	75000	A
USGS	07344400	1957-11-13	75000	A
USGS	07344400	1957-11-14	70000	A
USGS	07344400	1957-11-15	71000	A
USGS	07344400	1957-11-16	70000	A
USGS	07344400	1957-11-17	65000	A
USGS	07344400	1957-11-18	62200	A
USGS	07344400	1957-11-19	59500	A
USGS	07344400	1957-11-20	64000	A
USGS	07344400	1957-11-21	72000	A
USGS	07344400	1957-11-22	76000	A
USGS	07344400	1957-11-23	73000	A
USGS	07344400	1957-11-24	67000	A
USGS	07344400	1957-11-25	57700	A
USGS	07344400	1957-11-26	50200	A
USGS	07344400	1957-11-27	43800	A
USGS	07344400	1957-11-28	42200	A
USGS	07344400	1957-11-29	40600	A
USGS	07344400	1957-11-30	37500	A
USGS	07344400	1957-12-01	33000	A
USGS	07344400	1957-12-02	29400	A
USGS	07344400	1957-12-03	26600	A
USGS	07344400	1957-12-04	23900	A
USGS	07344400	1957-12-05	23300	A
USGS	07344400	1957-12-06	22700	A
USGS	07344400	1957-12-07	22100	A
USGS	07344400	1957-12-08	22100	A
USGS	07344400	1957-12-09	25200	A
USGS	07344400	1957-12-10	30100	A
USGS	07344400	1957-12-11	35200	A
USGS	07344400	1957-12-12	34500	A
USGS	07344400	1957-12-13	31500	A
USGS	07344400	1957-12-14	27300	A
USGS	07344400	1957-12-15	24500	A
USGS	07344400	1957-12-16	23900	A
USGS	07344400	1957-12-17	22700	A
USGS	07344400	1957-12-18	22700	A
USGS	07344400	1957-12-19	23300	A
USGS	07344400	1957-12-20	22700	A
USGS	07344400	1957-12-21	22700	A
USGS	07344400	1957-12-22	23300	A
USGS	07344400	1957-12-23	24500	A
USGS	07344400	1957-12-24	24500	A
USGS	07344400	1957-12-25	25200	A
USGS	07344400	1957-12-26	25200	A
USGS	07344400	1957-12-27	25900	A
USGS	07344400	1957-12-28	36000	A
USGS	07344400	1957-12-29	40000	A
USGS	07344400	1957-12-30	45000	A
USGS	07344400	1957-12-31	40600	A
USGS	07344400	1958-01-01	36000	A
USGS	07344400	1958-01-02	30800	A
USGS	07344400	1958-01-03	27300	A
USGS	07344400	1958-01-04	24500	A
USGS	07344400	1958-01-05	22700	A
USGS	07344400	1958-01-06	22100	A
USGS	07344400	1958-01-07	20900	A
USGS	07344400	1958-01-08	20300	A
USGS	07344400	1958-01-09	20300	A
USGS	07344400	1958-01-10	19700	A
USGS	07344400	1958-01-11	19100	A
USGS	07344400	1958-01-12	18000	A
USGS	07344400	1958-01-13	17500	A
USGS	07344400	1958-01-14	17500	A
USGS	07344400	1958-01-15	19700	A
USGS	07344400	1958-01-16	32200	A
USGS	07344400	1958-01-17	40600	A
USGS	07344400	1958-01-18	44600	A
USGS	07344400	1958-01-19	44600	A
USGS	07344400	1958-01-20	41400	A
USGS	07344400	1958-01-21	39800	A
USGS	07344400	1958-01-22	46200	A
USGS	07344400	1958-01-23	55000	A
USGS	07344400	1958-01-24	60400	A
USGS	07344400	1958-01-25	62200	A
USGS	07344400	1958-01-26	57700	A
USGS	07344400	1958-01-27	53400	A
USGS	07344400	1958-01-28	49400	A
USGS	07344400	1958-01-29	44600	A
USGS	07344400	1958-01-30	37500	A
USGS	07344400	1958-01-31	31500	A
USGS	07344400	1958-02-01	28700	A
USGS	07344400	1958-02-02	28000	A
USGS	07344400	1958-02-03	27300	A
USGS	07344400	1958-02-04	25900	A
USGS	07344400	1958-02-05	25200	A
USGS	07344400	1958-02-06	24500	A
USGS	07344400	1958-02-07	23900	A
USGS	07344400	1958-02-08	23300	A
USGS	07344400	1958-02-09	23300	A
USGS	07344400	1958-02-10	26600	A
USGS	07344400	1958-02-11	27300	A
USGS	07344400	1958-02-12	24500	A
USGS	07344400	1958-02-13	23300	A
USGS	07344400	1958-02-14	22100	A
USGS	07344400	1958-02-15	20900	A
USGS	07344400	1958-02-16	19000	A
USGS	07344400	1958-02-17	18000	A
USGS	07344400	1958-02-18	17000	A
USGS	07344400	1958-02-19	16000	A
USGS	07344400	1958-02-20	16000	A
USGS	07344400	1958-02-21	15000	A
USGS	07344400	1958-02-22	14000	A
USGS	07344400	1958-02-23	14000	A
USGS	07344400	1958-02-24	13000	A
USGS	07344400	1958-02-25	12000	A
USGS	07344400	1958-02-26	12000	A
USGS	07344400	1958-02-27	12000	A
USGS	07344400	1958-02-28	11000	A
USGS	07344400	1958-03-01	11000	A
USGS	07344400	1958-03-02	11000	A
USGS	07344400	1958-03-03	12000	A
USGS	07344400	1958-03-04	13000	A
USGS	07344400	1958-03-05	15000	A
USGS	07344400	1958-03-06	14000	A
USGS	07344400	1958-03-07	13000	A
USGS	07344400	1958-03-08	17000	A
USGS	07344400	1958-03-09	40000	A
USGS	07344400	1958-03-10	56000	A
USGS	07344400	1958-03-11	62000	A
USGS	07344400	1958-03-12	60000	A
USGS	07344400	1958-03-13	55000	A
USGS	07344400	1958-03-14	51800	A
USGS	07344400	1958-03-15	50200	A
USGS	07344400	1958-03-16	51800	A
USGS	07344400	1958-03-17	51800	A
USGS	07344400	1958-03-18	47000	A
USGS	07344400	1958-03-19	41400	A
USGS	07344400	1958-03-20	39000	A
USGS	07344400	1958-03-21	35200	A
USGS	07344400	1958-03-22	31500	A
USGS	07344400	1958-03-23	29400	A
USGS	07344400	1958-03-24	28700	A
USGS	07344400	1958-03-25	30800	A
USGS	07344400	1958-03-26	36800	A
USGS	07344400	1958-03-27	45400	A
USGS	07344400	1958-03-28	48600	A
USGS	07344400	1958-03-29	48600	A
USGS	07344400	1958-03-30	43800	A
USGS	07344400	1958-03-31	39000	A
USGS	07344400	1958-04-01	35200	A
USGS	07344400	1958-04-02	33800	A
USGS	07344400	1958-04-03	33000	A
USGS	07344400	1958-04-04	31500	A
USGS	07344400	1958-04-05	28000	A
USGS	07344400	1958-04-06	25900	A
USGS	07344400	1958-04-07	25200	A
USGS	07344400	1958-04-08	24500	A
USGS	07344400	1958-04-09	22100	A
USGS	07344400	1958-04-10	19700	A
USGS	07344400	1958-04-11	17500	A
USGS	07344400	1958-04-12	17000	A
USGS	07344400	1958-04-13	18500	A
USGS	07344400	1958-04-14	20900	A
USGS	07344400	1958-04-15	20900	A
USGS	07344400	1958-04-16	20900	A
USGS	07344400	1958-04-17	20900	A
USGS	07344400	1958-04-18	21000	A
USGS	07344400	1958-04-19	22000	A
USGS	07344400	1958-04-20	22100	A
USGS	07344400	1958-04-21	20900	A
USGS	07344400	1958-04-22	20300	A
USGS	07344400	1958-04-23	21500	A
USGS	07344400	1958-04-24	25200	A
USGS	07344400	1958-04-25	32200	A
USGS	07344400	1958-04-26	43000	A
USGS	07344400	1958-04-27	55900	A
USGS	07344400	1958-04-28	63100	A
USGS	07344400	1958-04-29	73000	A
USGS	07344400	1958-04-30	80000	A
USGS	07344400	1958-05-01	88400	A
USGS	07344400	1958-05-02	105000	A
USGS	07344400	1958-05-03	126000	A
USGS	07344400	1958-05-04	149000	A
USGS	07344400	1958-05-05	175000	A
USGS	07344400	1958-05-06	197000	A
