#
# U.S. Geological Survey
# National Water Information System
# Retrieved: 2006-04-20 12:52:53 EDT
#
# This file contains published daily mean streamflow data.
#
# Further Descriptions of the dv_cd column can be found at:
# http://waterdata.usgs.gov/nwis/help?codes_help#dv_cd
#
#
# This information includes the following fields:
#
#  agency_cd   Agency Code
#  site_no     USGS station number
#  dv_dt       date of daily mean streamflow
#  dv_va       daily mean streamflow value, in cubic-feet per-second
#  dv_cd       daily mean streamflow value qualification code
#
# Sites in this file include:
#  USGS 01100000 MERRIMACK RIVER BL CONCORD RIVER AT LOWELL, MA
#
#
agency_cd	site_no	dv_dt	dv_va	dv_cd
5s	15s	10d	12n	3s
USGS	01100000	1923-06-01	4800	
USGS	01100000	1923-06-02	3490	
USGS	01100000	1923-06-03	2880	
USGS	01100000	1923-06-04	4680	
USGS	01100000	1923-06-05	3600	
USGS	01100000	1923-06-06	4020	
USGS	01100000	1923-06-07	4020	
USGS	01100000	1923-06-08	4350	
USGS	01100000	1923-06-09	5520	
USGS	01100000	1923-06-10	5640	
USGS	01100000	1923-06-11	6150	
USGS	01100000	1923-06-12	5280	
USGS	01100000	1923-06-13	4570	
USGS	01100000	1923-06-14	4020	
USGS	01100000	1923-06-15	4020	
USGS	01100000	1923-06-16	2780	
USGS	01100000	1923-06-17	1890	
USGS	01100000	1923-06-18	3800	
USGS	01100000	1923-06-19	3280	
USGS	01100000	1923-06-20	3180	
USGS	01100000	1923-06-21	2880	
USGS	01100000	1923-06-22	3180	
USGS	01100000	1923-06-23	2420	
USGS	01100000	1923-06-24	1760	
USGS	01100000	1923-06-25	2980	
USGS	01100000	1923-06-26	2420	
USGS	01100000	1923-06-27	2180	
USGS	01100000	1923-06-28	2260	
USGS	01100000	1923-06-29	3180	
USGS	01100000	1923-06-30	1820	
USGS	01100000	1923-07-01	1010	
USGS	01100000	1923-07-02	2780	
USGS	01100000	1923-07-03	2880	
USGS	01100000	1923-07-04	820	
USGS	01100000	1923-07-05	2780	
USGS	01100000	1923-07-06	3080	
USGS	01100000	1923-07-07	1640	
USGS	01100000	1923-07-08	652	
USGS	01100000	1923-07-09	2340	
USGS	01100000	1923-07-10	2260	
USGS	01100000	1923-07-11	2100	
USGS	01100000	1923-07-12	1890	
USGS	01100000	1923-07-13	1960	
USGS	01100000	1923-07-14	1380	
USGS	01100000	1923-07-15	350	
USGS	01100000	1923-07-16	2030	
USGS	01100000	1923-07-17	2030	
USGS	01100000	1923-07-18	2180	
USGS	01100000	1923-07-19	2340	
USGS	01100000	1923-07-20	2690	
USGS	01100000	1923-07-21	1760	
USGS	01100000	1923-07-22	630	
USGS	01100000	1923-07-23	2100	
USGS	01100000	1923-07-24	2180	
USGS	01100000	1923-07-25	2180	
USGS	01100000	1923-07-26	2510	
USGS	01100000	1923-07-27	2980	
USGS	01100000	1923-07-28	1640	
USGS	01100000	1923-07-29	1220	
USGS	01100000	1923-07-30	2980	
USGS	01100000	1923-07-31	2690	
USGS	01100000	1923-08-01	2690	
